date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/06/13,880,267.69,3.502,1.43E+03,-90.7,-5.5,37.2,75.492
  2023/06/13,929,267.63,3.554,1.44E+03,-92.4,-3.3,39.3,75.924
  2023/06/13,981,267.36,3.587,1.45E+03,-94.6,-3.9,37.6,74.232
  2023/06/13,31,267.49,3.499,1.42E+03,-92,-2.9,38.6,75.924
  2023/06/13,82,267.74,3.565,1.46E+03,-94.1,-3.3,37.2,75.492
  2023/06/13,130,267.25,3.557,1.44E+03,-97.9,-3.3,37.8,74.736
  2023/06/13,181,268.16,3.528,1.44E+03,-96.3,-2.3,39.5,74.052
  2023/06/13,230,267.1,3.482,1.42E+03,-94.2,-2.5,38.7,74.952
  2023/06/13,281,267.66,3.529,1.43E+03,-97.9,-2.4,38.5,76.104
  2023/06/13,332,267.14,3.576,1.45E+03,-92,-2.2,39.2,74.664
  2023/06/13,383,267.53,3.503,1.43E+03,-97.2,-4.2,38.7,74.844
  2023/06/13,435,268.05,3.514,1.44E+03,-67.8,-8.5,31.7,76.068
  2023/06/13,483,269.41,3.599,1.49E+03,-27.9,-24.1,7.7,75.78
  2023/06/13,534,267.84,3.569,1.45E+03,-13.9,-21,1,74.052
  2023/06/13,584,268.82,3.494,1.44E+03,-8.8,-16.8,-0.2,75.924
  2023/06/13,635,268.44,3.57,1.46E+03,-3.4,-10.7,0.2,74.52
  2023/06/13,681,267.92,3.504,1.43E+03,-0.3,-5.8,1.5,75.348
  2023/06/13,732,268.01,3.556,1.45E+03,2,-2.9,2.5,74.952
  2023/06/13,781,267.96,3.524,1.43E+03,1.4,-5.9,1.2,75.456
  2023/06/13,829,267.07,3.557,1.44E+03,1.5,-27.5,-4.3,74.448
  2023/06/13,880,267.97,3.496,1.43E+03,2.7,-35.7,-5.2,75.276
  2023/06/13,931,267.75,3.541,1.44E+03,6.6,-40.6,-4.6,76.14
  2023/06/13,981,267.91,3.592,1.47E+03,10.8,-43.2,-4.5,74.196
  2023/06/13,32,267.53,3.487,1.42E+03,15,-47.2,-4.4,74.34
  2023/06/13,81,267.88,3.506,1.43E+03,19.8,-51.2,-5.4,75.636
  2023/06/13,147,267.28,3.567,1.44E+03,21.4,-50.2,-4.9,75.744
  2023/06/13,181,267.69,3.565,1.45E+03,23.4,-48.5,-5.3,74.016
  2023/06/13,229,267.16,3.492,1.42E+03,23.5,-36.8,-1.8,74.484
  2023/06/13,279,269.02,3.518,1.44E+03,37.9,-53.7,-2.3,74.916
  2023/06/13,332,267.41,3.533,1.44E+03,55,-51.9,-1.1,76.572
  2023/06/13,385,269.14,3.612,1.48E+03,56.2,-61.3,-0.5,74.124
  2023/06/13,434,268.7,3.492,1.43E+03,57.5,-60.9,0,74.052
  2023/06/13,485,269.43,3.512,1.45E+03,58,-60.3,0.6,75.672
  2023/06/13,536,267.87,3.568,1.45E+03,55.7,-58.1,1.4,75.492
  2023/06/13,583,269.81,3.549,1.47E+03,55.2,-55.8,0.9,75.312
  2023/06/13,637,268.04,3.554,1.45E+03,54.5,-57,0.6,74.196
