date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/04/06,141,407.6,0.6439,3.41E+02,0,0,0,16.03117183
  2023/04/06,191,407.62,0.6476,3.42E+02,0,0,0,15.98895396
  2023/04/06,241,407.6,0.6408,3.39E+02,0,0,0,15.94668386
  2023/04/06,281,407.57,0.6457,3.40E+02,0,0,0,15.904392
  2023/04/06,341,407.59,0.6446,3.40E+02,0,0,0,15.86210955
  2023/04/06,391,407.56,0.6464,3.40E+02,0,0,0,15.8198684
  2023/04/06,441,407.57,0.6497,3.41E+02,0,0,0,15.77770113
  2023/04/06,490,407.61,0.6534,3.42E+02,0,0,0,15.73564101
  2023/04/06,540,407.67,0.6528,3.42E+02,0,0,0,15.69372201
  2023/04/06,590,407.67,0.6506,3.40E+02,0,0,0,15.65197877
  2023/04/06,640,407.66,0.6458,3.38E+02,0,0,0,15.61044661
  2023/04/06,690,407.62,0.6414,3.36E+02,0,0,0,15.56916153
  2023/04/06,740,407.61,0.6693,3.59E+02,0,-1,0,15.52816017
  2023/04/06,790,407.64,0.6751,3.62E+02,0,0,0,15.48747984
  2023/04/06,840,407.65,0.6672,3.59E+02,0,0,0,15.44715849
  2023/04/06,890,407.61,0.6727,3.60E+02,0,0,0,15.40723471
  2023/04/06,940,407.6,0.672,3.59E+02,0,0,0,15.36774769
  2023/04/06,990,407.54,0.6675,3.57E+02,0,0,0,15.32873727
  2023/04/06,40,407.6,0.6694,3.59E+02,0,0,0,15.29024386
  2023/04/06,90,407.56,0.6663,3.58E+02,0,0,0,15.25230847
  2023/04/06,140,407.59,0.668,3.58E+02,0,0,0,15.21497271
  2023/04/06,190,407.62,0.6628,3.57E+02,0,0,0,15.17827874
  2023/04/06,240,407.67,0.6687,3.60E+02,0,0,0,15.14226926
  2023/04/06,290,407.69,0.6653,3.59E+02,0,0,0,15.10698752
  2023/04/06,340,407.73,0.6632,3.58E+02,0,0,0,15.07247731
  2023/04/06,390,407.77,0.662,3.59E+02,0,0,0,15.0387829
  2023/04/06,440,407.75,0.6619,3.58E+02,0,0,0,15.00594908
  2023/04/06,490,407.73,0.6608,3.58E+02,0,0,0,14.97402109
  2023/04/06,540,407.72,0.6615,3.59E+02,0,0,0,14.94304465
  2023/04/06,590,407.73,0.6604,3.58E+02,0,0,0,14.91306592
  2023/04/06,640,407.74,0.6594,3.57E+02,0,0,0,14.88413148
  2023/04/06,690,407.7,0.6586,3.57E+02,0,0,0,14.85628832
  2023/04/06,740,407.72,0.6569,3.57E+02,0,0,0,14.82958379
  2023/04/06,790,407.7,0.6571,3.58E+02,0,0,0,14.80406566
  2023/04/06,840,407.69,0.6612,3.59E+02,0,0,0,14.779782
  2023/04/06,890,407.69,0.6597,3.58E+02,0,0,0,14.75678122
  2023/04/06,940,407.66,0.6602,3.58E+02,0,0,0,14.73511204
  2023/04/06,990,407.69,0.6611,3.59E+02,0,0,0,14.71482345
  2023/04/06,40,407.71,0.6664,3.61E+02,0,0,0,14.69596471
  2023/04/06,90,407.71,0.658,3.57E+02,0,0,0,14.67858531
  2023/04/06,140,407.69,0.6636,3.59E+02,0,0,0,14.66273495
  2023/04/06,190,407.73,0.6658,3.60E+02,0,0,0,14.64846353
  2023/04/06,240,407.77,0.6658,3.59E+02,0,0,0,14.6358211
  2023/04/06,290,407.76,0.6653,3.59E+02,0,0,0,14.62485785
  2023/04/06,339,407.69,0.66,3.56E+02,0,0,0,14.61562409
  2023/04/06,389,407.71,0.6641,3.57E+02,0,0,0,14.60817021
  2023/04/06,439,407.7,0.6661,3.57E+02,0,0,0,14.60254665
  2023/04/06,489,407.7,0.6642,3.57E+02,0,0,0,14.5988039
  2023/04/06,539,407.72,0.6655,3.57E+02,0,0,0,14.59699244
  2023/04/06,589,407.7,0.6669,3.57E+02,0,0,0,14.59716273
  2023/04/06,639,407.61,0.6567,3.52E+02,0,0,0,14.59936518
  2023/04/06,689,407.66,0.6678,3.57E+02,0,0,0,14.60365012
  2023/04/06,739,407.64,0.6671,3.57E+02,0,0,0,14.61006775
  2023/04/06,789,407.63,0.6689,3.58E+02,0,0,0,14.61866816
  2023/04/06,839,407.57,0.6639,3.55E+02,0,0,0,14.62950124
  2023/04/06,889,407.6,0.6595,3.54E+02,0,0,0,14.64261668
  2023/04/06,939,407.57,0.6629,3.56E+02,0,0,0,14.65806396
  2023/04/06,989,407.55,0.6632,3.56E+02,0,0,0,14.67589227
  2023/04/06,39,407.54,0.6627,3.57E+02,0,0,0,14.69615051
  2023/04/06,89,407.52,0.6607,3.57E+02,0,0,0,14.71888726
  2023/04/06,139,407.51,0.6596,3.58E+02,0,0,0,14.74415072
  2023/04/06,189,407.53,0.6627,3.59E+02,0,0,0,14.77198872
  2023/04/06,239,407.55,0.6594,3.58E+02,0,0,0,14.80244864
  2023/04/06,289,407.53,0.6569,3.57E+02,0,0,0,14.83557741
  2023/04/06,339,407.53,0.6576,3.57E+02,0,0,0,14.87142147
  2023/04/06,389,407.56,0.6607,3.59E+02,0,0,0,14.91002672
  2023/04/06,439,407.55,0.6634,3.59E+02,0,0,0,14.95143851
  2023/04/06,489,407.54,0.6589,3.57E+02,0,0,0,14.9957016
  2023/04/06,539,407.5,0.6573,3.56E+02,0,0,0,15.04286009
  2023/04/06,589,407.48,0.6548,3.55E+02,0,0,0,15.09295745
  2023/04/06,639,407.51,0.6654,3.58E+02,0,0,0,15.14603644
  2023/04/06,689,407.51,0.6644,3.59E+02,0,0,0,15.20213907
  2023/04/06,739,407.51,0.6586,3.56E+02,0,0,0,15.26130662
  2023/04/06,789,407.54,0.6626,3.58E+02,0,0,0,15.32357952
  2023/04/06,839,407.59,0.6601,3.57E+02,0,0,0,15.3889974
  2023/04/06,889,407.57,0.6576,3.56E+02,0,0,0,15.457599
  2023/04/06,939,407.51,0.6575,3.56E+02,0,0,0,15.52942216
  2023/04/06,989,407.4,0.6563,3.55E+02,0,0,0,15.60450377
  2023/04/06,39,407.49,0.6689,3.61E+02,0,0,0,15.68287977
  2023/04/06,89,407.52,0.662,3.58E+02,0,0,0,15.76458505
  2023/04/06,139,407.55,0.6693,3.61E+02,0,0,0,15.84965349
  2023/04/06,189,407.55,0.6646,3.58E+02,0,0,0,15.93811787
  2023/04/06,238,407.57,0.6681,3.58E+02,0,0,0,16.03000987
