date,Irms-SigmaA-Total,P-SigmaA-Total,ch1,OT
  2023/04/06,0.6619,3.58E+02,0,17.928
  2023/04/06,0.6608,3.58E+02,0,17.856
  2023/04/06,0.6615,3.59E+02,0,17.928
  2023/04/06,0.6604,3.58E+02,0,17.892
  2023/04/06,0.6594,3.57E+02,0,17.928
  2023/04/06,0.6586,3.57E+02,0,17.856
  2023/04/06,0.6569,3.57E+02,0,17.856
  2023/04/06,0.6571,3.58E+02,0,18
  2023/04/06,0.6612,3.59E+02,0,17.964
  2023/04/06,0.6597,3.58E+02,0,17.82
  2023/04/06,0.6602,3.58E+02,0,17.964
  2023/04/06,0.6611,3.59E+02,0,18
  2023/04/06,0.6664,3.61E+02,0,17.892
  2023/04/06,0.658,3.57E+02,0,17.928
  2023/04/06,0.6636,3.59E+02,0,18
  2023/04/06,0.6658,3.60E+02,0,17.928
  2023/04/06,0.6658,3.59E+02,0,18
  2023/04/06,0.6653,3.59E+02,0,17.82
  2023/04/06,0.66,3.56E+02,0,17.928
  2023/04/06,0.6641,3.57E+02,0,17.856
  2023/04/06,0.6661,3.57E+02,0,17.892
  2023/04/06,0.6642,3.57E+02,0,17.82
  2023/04/06,0.6655,3.57E+02,0,17.892
  2023/04/06,0.6669,3.57E+02,0,17.712
  2023/04/06,0.6567,3.52E+02,0,17.856
  2023/04/06,0.6678,3.57E+02,0,17.856
  2023/04/06,0.6671,3.57E+02,0,17.892
  2023/04/06,0.6689,3.58E+02,0,17.82
  2023/04/06,0.6639,3.55E+02,0,17.748
  2023/04/06,0.6595,3.54E+02,0,17.964
  2023/04/06,0.6629,3.56E+02,0,17.784
  2023/04/06,0.6632,3.56E+02,0,17.856
  2023/04/06,0.6627,3.57E+02,0,17.784
  2023/04/06,0.6607,3.57E+02,0,17.892
  2023/04/06,0.6596,3.58E+02,0,17.892
  2023/04/06,0.6627,3.59E+02,0,17.892
  2023/04/06,0.6594,3.58E+02,0,17.856
  2023/04/06,0.6569,3.57E+02,0,17.82
  2023/04/06,0.6576,3.57E+02,0,17.892
  2023/04/06,0.6607,3.59E+02,0,17.928
  2023/04/06,0.6634,3.59E+02,0,17.784
  2023/04/06,0.6589,3.57E+02,0,17.856
  2023/04/06,0.6573,3.56E+02,0,17.748
  2023/04/06,0.6548,3.55E+02,0,17.928
  2023/04/06,0.6654,3.58E+02,0,17.892
  2023/04/06,0.6644,3.59E+02,0,17.82
  2023/04/06,0.6586,3.56E+02,0,17.856
  2023/04/06,0.6626,3.58E+02,0,17.928
  2023/04/06,0.6601,3.57E+02,0,17.748
  2023/04/06,0.6576,3.56E+02,0,17.82
  2023/04/06,0.6575,3.56E+02,0,17.676
  2023/04/06,0.6563,3.55E+02,0,18.036
  2023/04/06,0.6689,3.61E+02,0,17.964
  2023/04/06,0.662,3.58E+02,0,18
  2023/04/06,0.6693,3.61E+02,0,17.892
  2023/04/06,0.6646,3.58E+02,0,18
  2023/04/06,0.6681,3.58E+02,0,17.784
  2023/04/06,0.6644,3.57E+02,0,17.964
  2023/04/06,0.6642,3.57E+02,0,17.82
  2023/04/06,0.6657,3.57E+02,0,17.892
  2023/04/06,0.666,3.57E+02,0,17.892
  2023/04/06,0.6653,3.57E+02,0,17.856
  2023/04/06,0.667,3.57E+02,0,17.964
  2023/04/06,0.6706,3.59E+02,0,17.856
  2023/04/06,0.6678,3.58E+02,0,17.856
  2023/04/06,0.6652,3.57E+02,0,17.892
  2023/04/06,0.6629,3.56E+02,0,17.892
  2023/04/06,0.6686,3.59E+02,0,17.964
  2023/04/06,0.6659,3.59E+02,0,17.856
  2023/04/06,0.6625,3.58E+02,0,18.036
  2023/04/06,0.6644,3.60E+02,0,17.928
  2023/04/06,0.6652,3.59E+02,0,18
  2023/04/06,0.6599,3.58E+02,0,17.928
  2023/04/06,0.6623,3.59E+02,0,17.964
  2023/04/06,0.6626,3.59E+02,0,17.856
  2023/04/06,0.6576,3.58E+02,0,17.928
  2023/04/06,0.6614,3.59E+02,0,17.928
  2023/04/06,0.6623,3.59E+02,0,17.928
  2023/04/06,0.6622,3.59E+02,0,17.964
  2023/04/06,0.6649,3.59E+02,0,17.64
  2023/04/06,0.6437,3.53E+02,0,17.64
  2023/04/06,0.6467,3.53E+02,0,17.892
  2023/04/06,0.6583,3.58E+02,0,17.856
  2023/04/06,0.6593,3.58E+02,0,17.964
  2023/04/06,0.6555,3.57E+02,0,17.748
  2023/04/06,0.6536,3.56E+02,0,17.928
  2023/04/06,0.6597,3.58E+02,0,17.928
  2023/04/06,0.6626,3.59E+02,0,17.964
  2023/04/06,0.6611,3.59E+02,0,18
  2023/04/06,0.6641,3.60E+02,0,17.892
  2023/04/06,0.6576,3.57E+02,0,17.892
  2023/04/06,0.6613,3.58E+02,0,17.892
  2023/04/06,0.661,3.57E+02,0,17.784
  2023/04/06,0.6603,3.56E+02,0,17.928
  2023/04/06,0.6611,3.57E+02,0,17.892
  2023/04/06,0.6648,3.58E+02,0,17.964
  2023/04/06,0.6657,3.59E+02,0,17.892
  2023/04/06,0.6647,3.58E+02,0,17.964
  2023/04/06,0.6649,3.58E+02,0,17.892
  2023/04/06,0.6633,3.58E+02,0,17.928
  2023/04/06,0.6636,3.58E+02,0,17.892
  2023/04/06,0.6662,3.59E+02,0,17.856
  2023/04/06,0.6597,3.57E+02,0,17.856
  2023/04/06,0.6619,3.58E+02,0,17.964
  2023/04/06,0.6635,3.59E+02,0,17.928
  2023/04/06,0.663,3.59E+02,0,18
  2023/04/06,0.6636,3.61E+02,0,17.892
  2023/04/06,0.6608,3.58E+02,0,17.964
  2023/04/06,0.6626,3.59E+02,0,17.928
  2023/04/06,0.6599,3.59E+02,0,17.964
  2023/04/06,0.6591,3.58E+02,0,17.748
  2023/04/06,0.6549,3.56E+02,0,17.784
  2023/04/06,0.651,3.55E+02,0,17.82
  2023/04/06,0.6553,3.57E+02,0,17.892
  2023/04/06,0.655,3.57E+02,0,17.532
  2023/04/06,0.645,3.52E+02,0,17.892
  2023/04/06,0.6588,3.58E+02,0,18.108
  2023/04/06,0.6682,3.62E+02,0,18
  2023/04/06,0.665,3.61E+02,0,17.928
  2023/04/06,0.6627,3.60E+02,0,17.928
  2023/04/06,0.6574,3.57E+02,0,17.784
  2023/04/06,0.6591,3.57E+02,0,18.036
  2023/04/06,0.6644,3.60E+02,0,17.82
  2023/04/06,0.6615,3.58E+02,0,17.856
  2023/04/06,0.6562,3.56E+02,0,18.036
  2023/04/06,0.6678,3.62E+02,0,17.892
  2023/04/06,0.6614,3.58E+02,0,18
  2023/04/06,0.6681,3.60E+02,0,17.892
  2023/04/06,0.662,3.58E+02,0,17.82
  2023/04/06,0.6614,3.57E+02,0,18.072
  2023/04/06,0.6644,3.58E+02,0,17.748
  2023/04/06,0.6616,3.56E+02,0,17.892
  2023/04/06,0.6626,3.57E+02,0,17.856
  2023/04/06,0.6658,3.58E+02,0,18
  2023/04/06,0.665,3.59E+02,0,17.856
  2023/04/06,0.6658,3.59E+02,0,17.928
  2023/04/06,0.6642,3.57E+02,0,17.82
  2023/04/06,0.6633,3.57E+02,0,17.964
  2023/04/06,0.665,3.59E+02,0,17.856
  2023/04/06,0.6657,3.59E+02,0,17.964
  2023/04/06,0.6673,3.59E+02,0,17.82
  2023/04/06,0.6619,3.58E+02,0,18
  2023/04/06,0.6674,3.60E+02,0,18
  2023/04/06,0.6661,3.61E+02,0,17.964
  2023/04/06,0.6649,3.60E+02,0,17.964
  2023/04/06,0.667,3.60E+02,0,17.964
  2023/04/06,0.6604,3.59E+02,0,17.676
  2023/04/06,0.6566,3.55E+02,0,17.532
  2023/04/06,0.6514,3.50E+02,0,17.208
  2023/04/06,0.6453,3.46E+02,0,34.704
  2023/04/06,1.3484,7.21E+02,0,28.152
  2023/04/06,1.1835,5.25E+02,0,41.904
  2023/04/06,2.1749,8.48E+02,0,48.672
  2023/04/06,2.6396,1.01E+03,0,63.684
  2023/04/06,3.561,1.32E+03,0,72.36
  2023/04/06,4.0371,1.48E+03,0,64.872
  2023/04/06,3.567,1.32E+03,0,60.552
  2023/04/06,3.3196,1.23E+03,0,53.532
  2023/04/06,2.8544,1.07E+03,0,51.264
  2023/04/06,2.7618,1.03E+03,0,47.736
  2023/04/06,2.5336,9.58E+02,0,46.836
  2023/04/06,2.4665,9.39E+02,0,47.412
  2023/04/06,2.4888,9.40E+02,0,47.16
  2023/04/06,2.4803,9.45E+02,0,47.016
  2023/04/06,2.4816,9.38E+02,0,46.8
  2023/04/06,2.4902,9.45E+02,0,47.16
  2023/04/06,2.5303,9.59E+02,0,48.384
  2023/04/06,2.5985,9.72E+02,0,48.636
  2023/04/06,2.5943,9.78E+02,0,48.456
  2023/04/06,2.5893,9.74E+02,0,49.428
  2023/04/06,2.6281,9.85E+02,0,49.752
  2023/04/06,2.6685,1.00E+03,0,50.724
  2023/04/06,2.7247,1.02E+03,0,50.688
  2023/04/06,2.7202,1.02E+03,0,52.092
  2023/04/06,2.7986,1.04E+03,0,51.768
